phase,connections,threads,duration,requests_per_sec,transfer_per_sec,avg_latency,p50,p75,p90,p99,non_2xx_3xx,socket_errors
warmup,50,8,30s,NA,NA,20.72ms,NA,NA,NA,NA,0,0
staircase,50,8,30s,NA,NA,21.11ms,NA,NA,NA,NA,0,0
staircase,100,8,30s,NA,NA,44.75ms,NA,NA,NA,NA,0,0
staircase,200,8,30s,NA,NA,89.80ms,NA,NA,NA,NA,0,0
staircase,400,8,30s,NA,NA,176.41ms,NA,NA,NA,NA,0,0
staircase,800,8,30s,NA,NA,352.16ms,NA,NA,NA,NA,0,0
